"","SampleID","start_date","species","genotype","inoculum","comm","slope","lag","LDT"
"1","2023_04_05_LA1559_1_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00044882,3904.20773375346,7.34237572088718
"2","2023_04_05_LA1559_3_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0016355,2736.47037281415,6.04929379040417
"3","2023_04_05_LA1559_4_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00063036,4087.38450219222,7.00270655262874
"4","2023_04_05_LA1559_5_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00075638,4599.49122609803,6.82045374198437
"5","2023_04_05_LA1559_6_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00078521,3321.70339910577,6.78304643945264
"6","2023_04_05_LA1559_8_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00091803,4369.27362325065,6.62676756755753
"7","2023_04_05_LA1559_9_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00073155,997.450675129489,6.85383206655844
"8","2023_04_05_LA1559_11_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00049178,5543.53070851185,7.25096617536522
"9","2023_04_05_LA1559_12_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00050137,4526.5168328736,7.23165328591754
"10","2023_04_05_LA1559_13_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00046423,2824.76093914174,7.30861751831472
"11","2023_04_05_LA1559_14_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00064736,3271.0032620303,6.97609508340323
"12","2023_04_05_LA1559_15_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00073013,3935.80745309929,6.85577503690314
"13","2023_04_05_LA1559_16_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0011105,2266.23111525399,6.43643199404813
"14","2023_04_05_LA1559_17_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00077154,1054.69802895178,6.80060911987221
"15","2023_04_05_LA1559_19_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0016798,1741.14900959773,6.02256761969108
"16","2023_04_05_LA1559_20_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0018496,1082.79695876929,5.92627295890455
"17","2023_04_05_LA1559_21_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0019496,1928.15220953377,5.87361813507161
"18","2023_04_05_LA1559_22_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00070264,1845.29489709625,6.89415296777375
"19","2023_04_05_LA1559_23_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0013476,1531.72212774529,6.24291712585021
"20","2023_04_05_LA1559_24_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00072149,3062.00774853673,6.8676791192786
"21","2023_04_05_LA1559_25_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00089949,1238.51210297657,6.6471697013412
"22","2023_04_05_LA1559_27_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00044551,3220.00000575783,7.34977794403456
"23","2023_04_05_LA1559_29_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00037419,3301.76071657404,7.52423394757688
"24","2023_04_05_LA1559_30_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0012574,3159.99998939402,6.31219626143365
"25","2023_04_05_LA1559_31_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0011819,1711.15345849346,6.37411904536441
"26","2023_04_05_LA1559_32_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00045332,2629.99999997348,7.33239935951786
"27","2023_04_05_LA1559_35_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00070389,3618.07647381183,6.89237554343287
"28","2023_04_05_LA1559_36_ss","2023_04_05","S. habrochaites","LA1559","ss","f",NA,NA,NA
"29","2023_04_05_LA1559_37_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.00092434,3656.75836048824,6.61991766805561
"30","2023_04_05_LA1559_39_ss","2023_04_05","S. habrochaites","LA1559","ss","ok",0.0011329,2379.99995032566,6.41646164150317
