species ;experiment;exclude 
S. habrochaites;2023_03_28;LA1721
S. habrochaites;2023_03_28;LA1731
S. habrochaites;2023_04_05;LA1731
S. habrochaites;2023_04_25;LA1731
S. habrochaites;2023_05_30;LA1721
S. habrochaites;2023_05_30;LA2128
S.pimpinellifolium;2023_05_26;LA4713
S.lycopersicoides;2023_04_17;LA1966
S.lycopersicoides;2023_04_17;LA4322
S.lycopersicoides;2023_04_26;LA1966
S.lycopersicoides;2023_05_23;LA4322
S.pimpinellifolium;2023_09_11;LA1659
S.pimpinellifolium;2023_09_11;LA2347
